ent,sexo,year,pobreza,pobreza_e,pobreza_m,carencias,carencias3,int_pob,int_pobe,int_vulcar,int_caren,ict
Nuevo León,2,2016,.19412741,.013030263,.18109715,.47450238,.068322852,.058483768,.0074256808,.071941078,.13042484,44814.16932395544
Nuevo León,1,2018,.19580342,.0074777124,.1883257,.45625931,.059711501,.054337002,.0041696304,.071939372,.12627637,23782.30420355325
Nuevo León,2,2018,.19182485,.007209003,.18461585,.43819934,.053281605,.053015903,.0038664734,.062742077,.11575798,23727.9721291287
Nuevo León,1,2020,.24198623,.021083649,.22090258,.50131536,.10595279,.081521936,.011656347,.075735353,.15725729,23761.51717849687
Nuevo León,2,2020,.24458149,.021211011,.22337048,.47513822,.079704292,.077375688,.011308459,.061362542,.13873823,23803.71613355909
Nuevo León,1,2022,.15282828,.010121146,.14270712,.44960198,.089551337,.051813409,.0057825111,.087448701,.13926211,28918.96565487794
Nuevo León,2,2022,.1678216,.01130199,.15651962,.44007424,.08686877,.056247294,.0066076368,.078554697,.134802,27364.97900055275
Oaxaca,1,2016,.67228818,.23773162,.43455657,.89966029,.50774652,.32830477,.14850135,.089039713,.41734448,9283.972626500794
Oaxaca,2,2016,.68663317,.24698794,.43964523,.8958655,.50331187,.33230394,.15367591,.077578597,.40988255,9138.689133656659
Oaxaca,1,2018,.63730186,.22211483,.41518703,.87257475,.50065345,.31136674,.13656716,.091369756,.40273649,10658.27916481648
Oaxaca,2,2018,.64893347,.21211061,.43682283,.88169611,.47256604,.31237254,.13057876,.083486795,.39585933,10345.45345792932
Oaxaca,1,2020,.60840172,.20553946,.40286225,.87416404,.51865935,.31287736,.13286397,.10699157,.41986895,12153.43009601049
Oaxaca,2,2020,.62400448,.20730668,.4166978,.86469018,.49761662,.31808749,.13529156,.093104057,.41119155,11604.98220920526
Oaxaca,1,2022,.57359636,.20087017,.3727262,.87261522,.58247572,.32017258,.1356267,.13659792,.45677048,14889.47532016182
Oaxaca,2,2022,.59385347,.20359592,.39025757,.87930417,.57667041,.32945868,.13721123,.12727199,.45673066,14209.93658494882
Puebla,1,2016,.57608795,.077598475,.49848947,.79657221,.25600171,.21707313,.046047151,.068728223,.28580135,11357.0903333131
Puebla,2,2016,.58599389,.081390113,.50460374,.80607104,.25364956,.22119629,.047883604,.065578558,.28677484,10963.62285142452
Puebla,1,2018,.57741708,.079776712,.49764037,.80530477,.27239662,.22270964,.049007129,.074866787,.29757643,13014.9505497271
Puebla,2,2018,.58252174,.082226969,.50029474,.79911786,.26088384,.218805,.049337998,.068753809,.28755879,12498.16592345317
Puebla,1,2020,.6229381,.13093962,.49199849,.80520374,.33905509,.26130313,.079217196,.063268632,.32457176,12764.11933567879
Puebla,2,2020,.62555915,.12429061,.50126851,.80078578,.31434488,.25505331,.075124159,.058893666,.31394699,12626.4792569587
Puebla,1,2022,.52823794,.11064346,.41759449,.7879051,.35437468,.2373562,.070296519,.095206171,.33256239,16444.24173454102
Puebla,2,2022,.55088454,.11704367,.4338409,.79391283,.34515691,.24059294,.072164521,.087264307,.32785726,15691.94204710547
Querétaro,1,2016,.29193777,.025827555,.26611021,.60732299,.13626857,.098222002,.015403227,.093661211,.19188321,18342.33830120222
Querétaro,2,2016,.30150971,.024361618,.2771481,.61178023,.1165728,.094672278,.014142022,.086870678,.18154295,17901.88762407801
Querétaro,1,2018,.2538611,.016662778,.23719832,.60835773,.12943475,.084929898,.0098186005,.10383808,.18876797,20082.58420284966
Querétaro,2,2018,.27280429,.016704712,.25609958,.61498302,.11565728,.088135719,.0097081419,.095001981,.1831377,19489.19002121097
Querétaro,1,2020,.30267492,.028923493,.27375141,.61716336,.15547991,.10402746,.016546138,.096440144,.2004676,19492.63518519152
Querétaro,2,2020,.32295543,.029276932,.29367849,.61951834,.13567622,.10647919,.016728399,.08569818,.19217737,18937.59836216641
Querétaro,1,2022,.20563559,.018497236,.18713835,.57664907,.16296965,.077346481,.010705184,.12219937,.19954585,25023.25667740736
Querétaro,2,2022,.22739798,.015952716,.21144526,.58412313,.1339777,.079924166,.0092190234,.11109768,.19102184,23823.40708850487
Quintana Roo,1,2016,.30149665,.048965324,.25253135,.64564806,.20465221,.11744094,.029016577,.10939464,.22683558,16105.16769863002
Quintana Roo,2,2016,.33114651,.051580988,.27956551,.65351433,.1923463,.12510017,.029662725,.097658709,.22275887,16049.80718981873
Quintana Roo,1,2018,.293816,.04219196,.25162402,.65372914,.22756889,.12022129,.025893472,.11903319,.23925449,18895.46524282473
Quintana Roo,2,2018,.31018725,.033990234,.27619702,.64648306,.19536431,.12093651,.020773174,.10413953,.22507605,18905.26146949263
Quintana Roo,1,2020,.46310717,.10623536,.35687181,.69499302,.26403445,.18570201,.063859247,.078903429,.26460543,14477.67249770901
